algorithm,scenario,seed,turnaround,context_switches,slowdown,jain_slowdown
FCFS,balanced_random,1,999.31,45,2.063,78.62
FCFS,balanced_random,2,1014.48,52,2.329,77.93
FCFS,balanced_random,3,965.29,45,2.038,80.03
FCFS,balanced_random,4,903.45,47,2.225,80.22
FCFS,balanced_random,5,933.78,51,2.294,77.53
RR,balanced_random,1,936.17,3327,1.83,88.28
RR,balanced_random,2,957.79,3095,1.736,87.98
RR,balanced_random,3,942.12,3266,2.006,91.15
RR,balanced_random,4,897.67,3503,1.844,90.26
RR,balanced_random,5,939.54,3276,2.027,90.39
Priority,balanced_random,1,965.6,45,2.298,72.95
Priority,balanced_random,2,872.14,47,2.236,72.89
Priority,balanced_random,3,955.3,49,2.367,72.55
Priority,balanced_random,4,900.14,54,2.502,74.55
Priority,balanced_random,5,885.8,52,2.266,73.4
AJIE,balanced_random,1,916.58,51,1.821,92.92
AJIE,balanced_random,2,896.63,53,1.702,89.66
AJIE,balanced_random,3,824.9,48,1.696,94.21
AJIE,balanced_random,4,901.19,48,1.856,91.48
AJIE,balanced_random,5,906.38,50,1.715,90.73
FCFS,io_bound,1,720.0,76,1.83,81.99
FCFS,io_bound,2,701.52,76,1.979,80.05
FCFS,io_bound,3,666.33,73,1.659,80.64
FCFS,io_bound,4,746.32,79,1.643,79.41
FCFS,io_bound,5,769.6,80,1.97,81.8
RR,io_bound,1,600.12,5346,1.632,90.18
RR,io_bound,2,626.71,5264,1.453,89.67
RR,io_bound,3,646.18,5585,1.693,88.82
RR,io_bound,4,651.06,4791,1.705,91.85
RR,io_bound,5,630.01,5262,1.609,88.26
Priority,io_bound,1,710.65,81,2.138,74.15
Priority,io_bound,2,627.5,77,1.83,76.15
Priority,io_bound,3,723.33,85,1.947,71.79
Priority,io_bound,4,723.25,87,1.857,73.93
Priority,io_bound,5,634.99,84,2.133,72.14
AJIE,io_bound,1,617.55,81,1.43,93.86
AJIE,io_bound,2,612.38,75,1.512,93.15
AJIE,io_bound,3,590.35,77,1.649,92.75
AJIE,io_bound,4,613.86,80,1.386,90.62
AJIE,io_bound,5,603.94,81,1.419,90.6
FCFS,cpu_bound,1,1499.49,31,2.383,80.03
FCFS,cpu_bound,2,1702.64,27,2.388,78.84
FCFS,cpu_bound,3,1536.39,28,2.739,78.36
FCFS,cpu_bound,4,1602.96,32,2.675,76.45
FCFS,cpu_bound,5,1506.17,30,2.481,77.84
RR,cpu_bound,1,1523.88,1987,2.419,85.99
RR,cpu_bound,2,1447.1,1858,2.364,86.74
RR,cpu_bound,3,1397.14,1900,2.171,86.89
RR,cpu_bound,4,1411.15,2083,2.18,89.81
RR,cpu_bound,5,1481.84,1747,2.425,89.68
Priority,cpu_bound,1,1655.56,33,3.033,70.33
Priority,cpu_bound,2,1536.46,28,2.779,69.79
Priority,cpu_bound,3,1510.18,33,2.702,73.42
Priority,cpu_bound,4,1528.91,30,3.094,74.48
Priority,cpu_bound,5,1553.74,31,2.639,70.98
AJIE,cpu_bound,1,1504.99,30,2.118,91.24
AJIE,cpu_bound,2,1300.81,31,2.101,91.76
AJIE,cpu_bound,3,1323.26,33,1.924,88.43
AJIE,cpu_bound,4,1421.29,31,1.989,88.1
AJIE,cpu_bound,5,1487.42,28,2.14,90.6
FCFS,priority_unbalanced,1,1191.89,51,3.134,60.17
FCFS,priority_unbalanced,2,1150.36,52,2.957,57.48
FCFS,priority_unbalanced,3,1240.67,48,3.005,59.26
FCFS,priority_unbalanced,4,1124.92,50,3.431,60.48
FCFS,priority_unbalanced,5,1125.05,47,2.973,60.17
RR,priority_unbalanced,1,1169.68,3443,2.659,74.29
RR,priority_unbalanced,2,1161.37,3330,2.791,78.44
RR,priority_unbalanced,3,1129.66,2885,2.903,75.0
RR,priority_unbalanced,4,1131.32,3481,2.53,74.08
RR,priority_unbalanced,5,1033.18,3234,2.606,76.52
Priority,priority_unbalanced,1,1195.21,47,3.604,34.82
Priority,priority_unbalanced,2,1152.88,54,3.753,33.96
Priority,priority_unbalanced,3,1140.88,48,3.161,37.36
Priority,priority_unbalanced,4,1180.34,48,3.679,36.26
Priority,priority_unbalanced,5,1141.64,45,3.212,37.92
AJIE,priority_unbalanced,1,1117.86,50,2.774,79.41
AJIE,priority_unbalanced,2,990.88,46,2.5,80.99
AJIE,priority_unbalanced,3,1099.75,54,2.807,77.55
AJIE,priority_unbalanced,4,1007.92,46,2.746,80.92
AJIE,priority_unbalanced,5,1034.27,51,2.42,81.15
